,location,bath,size_new,sqft
6211,other,3.0,3,1250.0
6212,other,4.0,3,2200.0
6213,Billekahalli,3.0,3,2400.0
6214,Chandapura,2.0,2,876.0
6215,Nagarbhavi,2.0,3,1850.0
6216,Kadugodi,2.0,2,1314.0
6217,Rachenahalli,1.0,1,690.0
6218,other,2.0,2,1230.0
6219,Bommasandra,2.0,2,920.0
6220,Sarjapur  Road,3.0,3,1850.0
6221,Electronic City,2.0,2,1073.0
6222,other,3.0,3,1540.0
6223,Kanakpura Road,3.0,3,1550.0
6224,Kalyan nagar,2.0,2,1198.0
6225,HBR Layout,3.0,3,1656.0
6226,other,3.0,3,1900.0
6227,Ramagondanahalli,3.0,3,1910.0
6228,Mysore Road,2.0,2,1003.0
6230,Whitefield,2.0,3,1495.0
6231,Thanisandra,3.0,3,2172.0
6232,Sarakki Nagar,4.0,4,2400.0
6233,other,1.0,2,1200.0
6234,Whitefield,3.0,3,1548.0
6235,other,5.0,7,5400.0
6236,Whitefield,5.0,4,2856.0
6237,Hosur Road,3.0,3,1689.0
6238,Electronic City Phase II,2.0,2,1031.0
6239,Bhoganhalli,4.0,4,2119.0
6240,Whitefield,2.0,2,1200.0
6241,other,2.0,2,1060.0
6242,other,2.0,2,1100.0
6243,other,4.0,4,1350.0
6245,Hennur Road,2.0,3,1250.0
6246,other,2.0,2,1100.0
6247,Whitefield,2.0,2,1200.0
6248,Seegehalli,2.0,3,1420.0
6249,Electronic City,2.0,3,1500.0
6250,other,3.0,3,1942.0
6251,Haralur Road,3.0,3,1985.0
6252,Sarjapur  Road,1.0,1,950.0
6253,other,4.0,3,1200.0
6254,Green Glen Layout,3.0,3,1752.0
6255,Abbigere,3.0,4,1200.0
6257,Old Madras Road,2.0,3,1480.0
6259,Sarjapur  Road,3.0,3,1826.0
6260,8th Phase JP Nagar,2.0,2,1035.0
6261,Sarjapur  Road,4.0,4,2600.0
6262,Kasavanhalli,3.0,3,1667.0
6263,Thanisandra,2.0,2,934.0
6265,Mahadevpura,2.0,3,1620.0
6266,Electronic City,2.0,2,1070.0
6267,Hosur Road,5.0,5,3600.0
6268,Uttarahalli,2.0,3,1280.0
6269,other,2.0,2,1400.0
6271,other,2.0,2,1330.0
6272,Balagere,2.0,2,1012.0
6273,Electronic City Phase II,2.0,3,1611.0
6274,Whitefield,3.0,3,1405.0
6275,other,3.0,3,1515.0
6276,Thigalarapalya,4.0,3,1830.0
6277,Kaggadasapura,3.0,3,1710.0
6278,BTM Layout,2.0,2,935.0
6279,Jakkur,3.0,3,2197.0
6281,Yeshwanthpur,3.0,3,1678.0
6282,Brookefield,2.0,3,1410.0
6283,Jakkur,2.0,2,1125.0
6284,Magadi Road,2.0,3,1191.0
6285,Thubarahalli,2.0,2,1200.0
6286,CV Raman Nagar,2.0,3,1525.0
6287,other,3.0,3,1464.0
6288,Seegehalli,2.0,2,920.0
6289,Yelahanka,1.0,1,651.0
6290,Chikkabanavar,1.0,2,600.0
6291,Chandapura,1.0,1,645.0
6292,Thanisandra,2.0,2,1185.0
6293,Electronics City Phase 1,2.0,2,1190.0
6295,Whitefield,5.0,4,2856.0
6296,Whitefield,2.0,2,1355.0
6297,KR Puram,1.0,2,1200.0
6298,Kundalahalli,4.0,4,7000.0
6300,Yelahanka New Town,2.0,1,500.0
6301,Bommasandra Industrial Area,3.0,3,1250.0
6302,Uttarahalli,2.0,3,1480.0
6303,Ambalipura,4.0,4,3300.0
6304,other,2.0,2,1206.0
6305,Rajaji Nagar,2.0,2,1357.0
6306,Hosakerehalli,2.0,2,925.0
6307,8th Phase JP Nagar,2.0,2,909.0
6308,Seegehalli,5.0,3,3000.0
6309,Brookefield,2.0,2,1100.0
6310,Malleshwaram,5.0,4,3000.0
6311,Vidyaranyapura,2.0,2,1100.0
6312,Subramanyapura,2.0,2,975.0
6313,Raja Rajeshwari Nagar,2.0,2,1306.0
6314,other,4.0,4,1200.0
6315,Kalena Agrahara,1.0,1,610.0
6316,Yelahanka,2.0,3,1484.0
6317,Ramamurthy Nagar,2.0,2,1125.0
6318,Bhoganhalli,2.0,2,1447.0
6319,Whitefield,5.0,4,2882.0
6321,Kundalahalli,3.0,3,2075.0
6322,other,2.0,2,1250.0
6323,Horamavu Banaswadi,2.0,2,1272.0
6325,other,2.0,2,625.0
6326,1st Phase JP Nagar,2.0,1,840.0
6327,Hennur Road,4.0,4,2502.0
6328,Rayasandra,1.0,1,583.0
6329,other,2.0,2,900.0
6330,Sarjapur  Road,2.0,2,1115.0
6331,other,2.0,2,1464.0
6332,Kanakapura,3.0,3,2200.0
6333,Whitefield,1.0,1,750.0
6334,Marathahalli,3.0,3,1600.0
6335,Chikkalasandra,2.0,3,1365.0
6336,other,3.0,3,1300.0
6337,other,1.0,1,1200.0
6338,Hormavu,2.0,2,1260.0
6339,Electronics City Phase 1,2.0,2,1190.0
6340,Hosakerehalli,4.0,3,2480.0
6341,Vishwapriya Layout,3.0,3,1250.0
6342,Kaggadasapura,3.0,3,1500.0
6343,Banashankari Stage V,3.0,3,1510.0
6344,7th Phase JP Nagar,2.0,2,1187.0
6345,Kundalahalli,2.0,2,1120.0
6346,Whitefield,2.0,2,1115.0
6347,other,3.0,3,1717.0
6348,other,3.0,3,2099.0
6349,Kasturi Nagar,2.0,2,1100.0
6350,other,1.0,1,1200.0
6351,Bannerghatta Road,2.0,3,1465.0
6352,Kothanur,1.0,1,1500.0
6353,other,4.0,5,4050.0
6354,Haralur Road,2.0,3,1255.0
6355,5th Phase JP Nagar,2.0,2,1220.0
6356,Electronic City Phase II,2.0,2,1065.0
6357,Sultan Palaya,3.0,3,1765.0
6358,Bellandur,2.0,2,1281.0
6359,Electronic City,2.0,2,1210.0
6360,Kaggadasapura,2.0,2,1215.0
6361,Ananth Nagar,3.0,4,1200.0
6362,Mysore Road,2.0,2,1237.0
6363,Lakshminarayana Pura,2.0,2,1300.0
6364,Whitefield,2.0,2,1105.0
6365,Chandapura,2.0,3,1505.0
6366,Hebbal Kempapura,5.0,4,3900.0
6367,Banashankari,2.0,2,1186.0
6369,Kengeri,2.0,2,750.0
6370,Varthur,2.0,2,1083.0
6371,other,2.0,3,1430.0
6372,Thanisandra,2.0,2,1056.0
6373,other,3.0,3,2108.0
6374,Banashankari,3.0,3,1650.0
6375,Electronic City Phase II,3.0,3,1220.0
6376,Rayasandra,2.0,2,1198.0
6377,other,2.0,2,1190.0
6378,other,2.0,2,900.0
6379,other,4.0,4,2690.0
6380,Kanakapura,2.0,2,1340.0
6381,Bommenahalli,3.0,4,2940.0
6382,Giri Nagar,6.0,6,2400.0
6383,Yelahanka,2.0,2,1260.0
6384,Talaghattapura,3.0,3,2254.0
6385,Old Madras Road,5.0,3,2990.0
6386,other,5.0,4,1800.0
6387,JP Nagar,2.0,2,820.0
6388,Electronic City,2.0,2,1296.0
6389,Uttarahalli,2.0,2,1190.0
6390,Whitefield,2.0,2,1173.0
6391,Sarjapura - Attibele Road,3.0,3,1800.0
6392,Yelahanka,2.0,2,1102.0
6393,Sarjapur,2.0,2,913.0
6394,Hormavu,2.0,3,1176.0
6395,Prithvi Layout,3.0,3,1620.0
6396,Billekahalli,3.0,3,2968.0
6397,Yelahanka,2.0,2,1519.0
6398,Hosur Road,2.0,2,1345.0
6399,other,3.0,3,1594.0
6400,other,2.0,2,1250.0
6401,Haralur Road,2.0,2,1056.0
6402,Whitefield,3.0,3,1200.0
6403,other,1.0,2,1290.0
6404,other,2.0,2,1150.0
6405,other,2.0,2,1464.0
6406,Anekal,2.0,4,1200.0
6407,Gollarapalya Hosahalli,2.0,2,861.0
6408,Kundalahalli,2.0,2,1047.0
6409,other,2.0,2,1200.0
6411,other,2.0,2,1065.0
6412,Rajaji Nagar,3.0,3,2300.0
6413,Ramamurthy Nagar,2.0,2,1000.0
6414,Lingadheeranahalli,3.0,3,1682.0
6415,Harlur,3.0,3,1756.0
6416,other,4.0,5,4000.0
6418,Vittasandra,2.0,2,1238.0
6419,Dasanapura,2.0,2,814.0
6420,Dodda Nekkundi,2.0,2,1145.0
6421,Varthur,2.0,2,965.0
6422,other,2.0,2,750.0
6423,Banashankari,2.0,3,1300.0
6424,1st Phase JP Nagar,3.0,3,1590.0
6425,Begur Road,1.0,1,644.0
6426,Whitefield,2.0,2,982.0
6427,Indira Nagar,2.0,2,1260.0
6428,Rayasandra,3.0,3,1555.0
6429,other,4.0,4,2500.0
6430,Kaggadasapura,2.0,2,1225.0
6431,Electronics City Phase 1,2.0,2,1085.0
6432,Rajaji Nagar,3.0,3,1640.0
6433,Thanisandra,3.0,3,1595.0
6434,Raja Rajeshwari Nagar,2.0,2,1196.0
6435,Yelahanka,3.0,3,1859.0
6436,9th Phase JP Nagar,2.0,2,1079.0
6438,Whitefield,2.0,2,1118.0
6439,CV Raman Nagar,2.0,2,1198.0
6440,Thigalarapalya,4.0,3,1830.0
6441,Banashankari Stage VI,2.0,2,1160.0
6442,other,2.0,3,1485.0
6443,other,3.0,3,2070.0
6445,Kannamangala,2.0,2,957.0
6446,Basaveshwara Nagar,4.0,5,2400.0
6447,Bannerghatta Road,2.0,2,1268.0
6448,Bannerghatta Road,2.0,3,1450.0
6449,other,2.0,3,1600.0
6450,Uttarahalli,2.0,3,1330.0
6451,Jakkur,2.0,3,1355.0
6452,Horamavu Banaswadi,2.0,2,1272.0
6453,other,2.0,2,1100.0
6454,Sarjapur  Road,3.0,3,1220.0
6455,Chikkalasandra,2.0,2,1075.0
6456,other,2.0,2,800.0
6457,Vasanthapura,2.0,2,995.0
6458,other,1.0,2,900.0
6459,Haralur Road,2.0,2,1140.0
6460,other,2.0,3,1480.0
6461,Padmanabhanagar,2.0,3,1710.0
6462,Talaghattapura,3.0,3,2106.0
6464,other,2.0,3,3800.0
6466,Marathahalli,2.0,2,1602.0
6467,Sarjapur  Road,2.0,3,1660.0
6468,Electronic City Phase II,3.0,3,1549.0
6469,Marathahalli,1.0,1,700.0
6470,Balagere,2.0,2,1012.0
6471,Marathahalli,3.0,3,1469.0
6472,Whitefield,2.0,2,1216.0
6473,Electronic City Phase II,2.0,2,1065.0
6474,Thanisandra,3.0,3,1411.0
6475,Pai Layout,2.0,2,1400.0
6476,Hoskote,3.0,3,1250.0
6477,Haralur Road,2.0,2,1245.0
6478,Choodasandra,2.0,2,1115.0
6479,Vidyaranyapura,2.0,2,1000.0
6480,Panathur,3.0,3,1580.0
6481,Subramanyapura,3.0,3,1800.0
6482,other,2.0,2,1500.0
6483,Chandapura,1.0,1,645.0
6484,Kothannur,3.0,3,1275.0
6485,Kasavanhalli,3.0,3,1494.0
6486,Bhoganhalli,3.0,3,1949.0
6487,BTM Layout,2.0,2,1020.0
6488,Mysore Road,2.0,2,883.0
6489,Old Airport Road,4.0,4,3200.0
6492,other,3.0,3,2010.0
6493,Yeshwanthpur,2.0,2,1240.0
6494,6th Phase JP Nagar,2.0,2,1213.0
6495,Hegde Nagar,3.0,3,1835.0
6497,Bannerghatta Road,5.0,4,2932.0
6498,Whitefield,5.0,4,3425.0
6499,Gottigere,2.0,2,945.0
6500,other,2.0,3,1504.0
6501,Lakshminarayana Pura,3.0,3,1569.0
6502,Harlur,3.0,3,1755.0
6503,Vijayanagar,3.0,3,1760.0
6504,Hoodi,2.0,2,1240.0
6505,Electronics City Phase 1,3.0,3,1450.0
6506,5th Phase JP Nagar,2.0,2,1000.0
6507,Shivaji Nagar,1.0,1,3820.0
6508,Thyagaraja Nagar,4.0,5,2000.0
6509,Choodasandra,2.0,2,1215.0
6511,Yelachenahalli,3.0,3,1330.0
6512,Raja Rajeshwari Nagar,2.0,2,1178.0
6513,Hulimavu,4.0,4,1500.0
6514,other,2.0,2,2040.0
6515,Bellandur,3.0,3,2000.0
6516,other,2.0,3,1602.0
6517,other,4.0,4,1200.0
6518,Parappana Agrahara,2.0,2,1194.0
6519,other,3.0,3,1800.0
6520,Dasarahalli,2.0,3,2400.0
6521,Sarjapur  Road,3.0,3,1700.0
6522,Jigani,3.0,3,1200.0
6523,other,3.0,3,1500.0
6524,Karuna Nagar,3.0,3,1240.0
6525,Whitefield,3.0,3,3000.0
6526,Kanakpura Road,3.0,3,1737.0
6527,TC Palaya,2.0,2,900.0
6528,other,2.0,3,1280.0
6529,CV Raman Nagar,2.0,2,1560.0
6530,Kambipura,2.0,2,883.0
6531,Kengeri Satellite Town,2.0,2,750.0
6532,Brookefield,3.0,4,2400.0
6533,other,2.0,2,900.0
6534,Hormavu,2.0,2,1030.0
6535,7th Phase JP Nagar,3.0,3,1850.0
6536,Hennur Road,3.0,3,1831.0
6537,other,2.0,2,1095.0
6538,Electronic City Phase II,2.0,3,1320.0
6539,Sarjapur  Road,2.0,3,1272.5
6540,7th Phase JP Nagar,2.0,2,1000.0
6541,Budigere,3.0,3,1820.0
6542,Bisuvanahalli,2.0,3,1075.0
6543,TC Palaya,3.0,3,1500.0
6544,Electronics City Phase 1,1.0,1,360.0
6545,Kadugodi,1.0,1,925.0
6546,Electronic City,2.0,2,1140.0
6547,other,2.0,2,1145.0
6548,other,3.0,3,1862.0
6549,Devarachikkanahalli,2.0,2,947.0
6552,Kalena Agrahara,2.0,2,1120.0
6553,other,3.0,3,2700.0
6554,Kaggadasapura,2.0,3,1805.0
6555,Basavangudi,2.0,2,1100.0
6556,Bommenahalli,3.0,4,1355.0
6557,other,3.0,3,1677.0
6558,other,8.0,8,2500.0
6559,Uttarahalli,3.0,3,1560.0
6560,Arekere,3.0,3,2060.0
6561,Koramangala,2.0,3,1716.0
6562,Harlur,3.0,3,1864.0
6563,Electronics City Phase 1,1.0,1,638.0
6566,Chandapura,2.0,2,937.0
6567,other,2.0,3,1490.0
6568,Frazer Town,5.0,4,4856.0
6569,Whitefield,6.0,4,4003.0
6570,Whitefield,2.0,2,1100.0
6571,Thigalarapalya,2.0,2,1000.0
6572,Horamavu Agara,2.0,2,1060.0
6573,Kundalahalli,2.0,2,1047.0
6574,Basaveshwara Nagar,2.0,2,1200.0
6575,Akshaya Nagar,2.0,3,1420.0
6576,Sarjapur  Road,3.0,3,1539.0
6577,other,3.0,3,1550.0
6578,Kasavanhalli,3.0,3,1555.0
6580,Seegehalli,3.0,3,1553.0
6581,Electronic City Phase II,2.0,2,920.0
6582,other,3.0,3,1740.0
6583,OMBR Layout,3.0,3,1855.0
6584,Kundalahalli,3.0,3,1724.0
6585,other,2.0,2,1020.0
6587,Uttarahalli,2.0,3,1250.0
6588,Sanjay nagar,3.0,3,1450.0
6589,Thubarahalli,2.0,2,1200.0
6590,Haralur Road,2.0,2,1140.0
6592,other,1.0,1,550.0
6593,Bannerghatta Road,3.0,3,1450.0
6594,Kanakpura Road,2.0,2,700.0
6595,Whitefield,3.0,3,1200.0
6596,Yelahanka,2.0,2,1050.0
6597,Somasundara Palya,3.0,3,1600.0
6598,Bannerghatta Road,2.0,3,1625.0
6599,other,2.0,2,1492.0
6600,Whitefield,5.0,4,2856.0
6601,Sarjapur  Road,2.0,3,1489.0
6602,Kanakapura,2.0,3,1560.0
6603,Haralur Road,2.0,2,1140.0
6604,other,3.0,3,1431.0
6605,Lingadheeranahalli,3.0,3,1682.0
6606,Panathur,2.0,2,1198.0
6607,other,3.0,3,3664.0
6608,Sarjapur  Road,2.0,3,1550.0
6609,Kodichikkanahalli,2.0,2,1026.0
6610,Hennur,2.0,3,1260.0
6611,other,2.0,2,690.0
6612,Sarjapur  Road,1.0,1,539.0
6613,Sarakki Nagar,4.0,4,1200.0
6614,Attibele,3.0,3,2400.0
6615,Thubarahalli,2.0,2,1200.0
6616,Kundalahalli,5.0,4,2500.0
6617,Sarjapur  Road,2.0,3,1186.0
6618,Thanisandra,2.0,2,1039.0
6619,other,5.0,4,1500.0
6620,Gottigere,4.0,5,1500.0
6621,Malleshwaram,3.0,3,2520.0
6622,Brookefield,2.0,2,1225.0
6623,Bommanahalli,2.0,2,1350.0
6624,other,2.0,2,1030.0
6625,Whitefield,2.0,3,1550.0
6626,Hoodi,3.0,3,1490.0
6627,other,3.0,3,1520.0
6628,Whitefield,4.0,4,4100.0
6629,other,2.0,3,1391.0
6630,Rachenahalli,2.0,2,1200.0
6631,other,4.0,4,1200.0
6632,other,6.0,5,2500.0
6633,Yelahanka,2.0,2,1322.0
6634,Whitefield,3.0,3,2173.0
6635,Sarjapur  Road,2.0,2,1200.0
6636,Thubarahalli,2.0,2,1200.0
6637,Mysore Road,2.0,2,1170.0
6638,NRI Layout,2.0,2,1125.0
6639,Devanahalli,1.0,1,698.5
6640,other,2.0,2,1250.0
6641,Chandapura,2.0,2,1025.0
6642,Yelahanka,2.0,3,1075.0
6643,other,2.0,3,1900.0
6644,Whitefield,3.0,3,1435.0
6645,Electronics City Phase 1,2.0,2,1175.0
6646,other,3.0,3,1464.0
6647,other,2.0,2,900.0
6648,Electronics City Phase 1,1.0,1,585.0
6649,Jigani,5.0,4,3170.0
6650,other,2.0,3,1602.0
6651,Thanisandra,2.0,2,1220.0
6652,Rajaji Nagar,3.0,3,2500.0
6653,Sarjapur  Road,3.0,3,2145.0
6654,Bannerghatta Road,2.0,2,960.0
6655,NGR Layout,1.0,1,907.0
6656,Old Madras Road,2.0,2,1210.0
6658,other,2.0,2,1230.0
6659,5th Phase JP Nagar,2.0,3,1350.0
6660,Kenchenahalli,2.0,2,1150.0
6661,Sarjapur,2.0,3,1404.0
6662,OMBR Layout,2.0,2,1050.0
6664,Yelahanka,2.0,2,1285.0
6665,Hormavu,2.0,2,1018.0
6666,Hoskote,3.0,3,1200.0
6667,Sarjapur  Road,2.0,2,1115.0
6668,other,3.0,3,1600.0
6669,9th Phase JP Nagar,2.0,2,1480.0
6670,Kodichikkanahalli,7.0,5,2500.0
6671,Kaval Byrasandra,1.0,1,480.0
6672,Akshaya Nagar,3.0,3,1435.0
6673,other,1.0,1,450.0
6674,other,2.0,1,600.0
6675,CV Raman Nagar,2.0,3,1590.0
6676,Nagavara,2.0,2,936.0
6677,Banashankari,2.0,2,1181.0
6678,Kengeri,3.0,3,1741.0
6679,JP Nagar,3.0,3,1750.0
6680,Varthur Road,2.0,2,1050.0
6681,Tumkur Road,2.0,2,1027.0
6683,other,6.0,4,3463.0
6684,Sector 2 HSR Layout,3.0,3,1600.0
6685,Hebbal,5.0,4,2790.0
6686,Sahakara Nagar,2.0,2,1000.0
6687,Varthur,2.0,2,1120.0
6688,other,2.0,2,1200.0
6689,other,2.0,2,1200.0
6690,Kasturi Nagar,3.0,3,1570.0
6691,Koramangala,3.0,3,1500.0
6692,Frazer Town,2.0,2,1315.0
6693,Electronic City Phase II,2.0,2,1140.0
6694,Banashankari,2.0,2,1105.0
6695,Electronic City,2.0,2,1200.0
6696,Whitefield,1.0,1,905.0
6697,HSR Layout,4.0,4,2400.0
6698,Kudlu Gate,2.0,2,1185.0
6699,Koramangala,2.0,2,1083.0
6700,Rayasandra,3.0,3,1458.0
6701,Hormavu,3.0,3,1555.0
6702,other,2.0,2,1200.0
6703,Sarjapur  Road,2.0,2,1308.0
6704,Kudlu,2.0,2,1024.0
6705,Parappana Agrahara,2.0,2,1194.0
6706,Kanakapura,3.0,3,1450.0
6707,Seegehalli,3.0,3,1639.0
6708,Whitefield,3.0,3,1870.0
6709,Hennur Road,2.0,2,1232.0
6710,Kasavanhalli,3.0,3,1719.0
6711,Chandapura,2.0,2,975.0
6712,other,4.0,3,2000.0
6713,Jakkur,2.0,2,1230.0
6714,other,4.0,4,1350.0
6715,KR Puram,2.0,2,1076.0
6716,Kumaraswami Layout,7.0,7,2400.0
6717,other,2.0,3,995.0
6718,Kodigehaali,3.0,3,2120.0
6719,other,7.0,6,2400.0
6721,Electronic City,2.0,2,1096.0
6722,Horamavu Agara,2.0,2,1107.83
6723,Chamrajpet,1.0,1,505.0
6724,Sarjapur  Road,2.0,2,1320.0
6725,8th Phase JP Nagar,3.0,3,1431.5
6726,Whitefield,2.0,2,1320.0
6727,Whitefield,4.0,3,2901.0
6728,GM Palaya,2.0,3,1315.0
6729,other,2.0,2,1000.0
6730,Hosakerehalli,3.0,3,1596.0
6731,Bannerghatta Road,3.0,3,1750.0
6732,Whitefield,4.0,4,2403.0
6733,Old Madras Road,3.0,3,1350.0
6734,other,2.0,2,1175.0
6735,Talaghattapura,2.0,2,921.0
6736,Malleshwaram,4.0,4,4000.0
6737,Sultan Palaya,3.0,3,1713.0
6738,other,2.0,2,1200.0
6739,8th Phase JP Nagar,4.0,3,1900.0
6740,Kudlu Gate,3.0,3,1664.0
6741,Binny Pete,3.0,3,1795.0
6742,Kereguddadahalli,1.0,1,600.0
6743,Hoodi,2.0,2,1240.0
6744,Hegde Nagar,4.0,3,1965.0
6746,Sarjapur,4.0,4,4111.0
6747,Electronics City Phase 1,2.0,2,1200.0
6748,other,2.0,2,1112.0
6749,Raja Rajeshwari Nagar,3.0,3,3000.0
6750,Mahadevpura,2.0,2,1136.0
6751,Jigani,2.0,2,914.0
6752,Poorna Pragna Layout,2.0,3,1270.0
6753,Rachenahalli,2.0,2,1050.0
6754,Marathahalli,2.0,3,1385.0
6755,other,2.0,2,990.0
6756,Yelahanka,2.0,2,845.0
6757,Whitefield,2.0,2,1485.0
6758,Kanakapura,2.0,3,1460.0
6759,Thanisandra,2.0,2,1450.0
6760,HSR Layout,2.0,3,1360.0
6761,Singasandra,2.0,2,1375.0
6762,Uttarahalli,2.0,2,1125.0
6763,Banashankari,1.0,1,720.0
6764,7th Phase JP Nagar,2.0,3,1460.0
6765,other,2.0,2,1107.0
6766,other,2.0,2,1158.0
6767,Yelachenahalli,1.0,2,800.0
6769,Bhoganhalli,3.0,3,1760.0
6770,other,4.0,4,3200.0
6771,HAL 2nd Stage,3.0,2,600.0
6772,TC Palaya,3.0,3,1350.0
6774,other,2.0,2,1125.0
6775,Frazer Town,3.0,3,1706.0
6776,BTM Layout,3.0,3,1600.0
6777,other,2.0,2,1200.0
6778,Whitefield,3.0,3,1755.0
6779,Hulimavu,2.0,2,1200.0
6780,BEML Layout,2.0,2,1200.0
6781,other,2.0,2,1266.67
6782,other,3.0,3,1800.0
6783,Sector 7 HSR Layout,4.0,3,1200.0
6784,2nd Phase Judicial Layout,3.0,3,1300.0
6786,Whitefield,5.0,4,4800.0
6787,Mysore Road,2.0,2,1029.5
6788,Raja Rajeshwari Nagar,2.0,2,1128.0
6789,other,2.0,2,2000.0
6790,Panathur,2.0,2,1210.0
6791,Arekere,6.0,4,2710.0
6792,Raja Rajeshwari Nagar,2.0,2,1151.0
6793,Rajaji Nagar,8.0,5,7500.0
6794,other,3.0,3,1464.0
6795,Electronic City,2.0,2,1017.0
6796,Sarjapur  Road,2.0,2,920.0
6797,HRBR Layout,3.0,4,1200.0
6799,Munnekollal,3.0,3,1750.0
6800,Dasanapura,2.0,2,1163.0
6801,7th Phase JP Nagar,3.0,3,1650.0
6802,other,3.0,3,1800.0
6803,CV Raman Nagar,2.0,2,1100.0
6804,R.T. Nagar,2.0,2,1200.0
6805,other,3.0,3,1410.0
6806,Begur Road,3.0,3,1933.0
6807,Begur Road,2.0,2,1200.0
6808,Whitefield,2.0,3,1608.0
6809,other,5.0,4,2679.0
6810,Horamavu Banaswadi,2.0,2,1156.0
6811,other,2.0,2,1230.0
6812,Kasavanhalli,1.0,1,770.0
6813,Ardendale,3.0,3,1777.26
6814,Kanakpura Road,2.0,2,1339.0
6815,Sarjapur  Road,3.0,3,3044.0
6816,other,2.0,2,1080.0
6817,other,5.0,8,3150.0
6818,other,2.0,2,2400.0
6819,Hulimavu,3.0,3,1450.0
6820,Kothanur,2.0,2,1075.0
6821,Sarjapur  Road,2.0,3,1163.0
6822,TC Palaya,2.0,2,1200.0
6824,Marathahalli,4.0,4,3090.0
6825,Hebbal,2.0,2,1299.0
6826,Electronic City,2.0,2,1130.0
6827,HRBR Layout,2.0,2,1170.0
6828,Yelahanka,4.0,4,2600.0
6829,KR Puram,2.0,2,1140.0
6830,Kanakpura Road,3.0,3,1900.0
6831,Bommasandra Industrial Area,2.0,2,1090.0
6832,Electronic City,2.0,2,1110.0
6833,Nagavarapalya,1.0,1,705.0
6834,HBR Layout,2.0,2,1089.0
6835,other,2.0,2,880.0
6836,Kereguddadahalli,2.0,2,1080.0
6837,Thanisandra,2.0,2,1093.0
6838,Banashankari Stage III,3.0,3,1480.0
6839,Hegde Nagar,3.0,3,1703.0
6840,Hebbal,2.0,2,1200.0
6841,Marathahalli,3.0,3,1690.0
6842,Yelahanka,2.0,2,1305.0
6843,Talaghattapura,2.0,3,1257.0
6844,other,2.0,2,1150.0
6845,other,2.0,2,1194.0
6846,other,3.0,3,2000.0
6847,Anekal,4.0,3,1500.0
6848,other,2.0,2,1025.0
6849,Horamavu Agara,2.0,2,980.0
6850,Hosakerehalli,2.0,3,1200.0
6851,Whitefield,3.0,3,2225.0
6852,other,2.0,2,1022.0
6854,Narayanapura,2.0,2,1153.0
6855,Pai Layout,2.0,2,1175.0
6856,Vidyaranyapura,3.0,3,1560.0
6857,Yelahanka New Town,1.0,1,650.0
6859,Billekahalli,3.0,2,1350.0
6860,other,2.0,2,1200.0
6861,other,1.0,2,1200.0
6862,Chandapura,2.0,2,800.0
6863,Electronic City,4.0,4,2093.0
6864,Uttarahalli,2.0,3,1320.0
6865,Bannerghatta Road,2.0,2,1275.0
6866,Begur Road,2.0,2,1215.0
6867,Kanakapura,2.0,2,1130.0
6868,Begur Road,2.0,3,1444.0
6869,other,2.0,2,950.0
6870,Padmanabhanagar,1.0,2,1000.0
6871,Banashankari Stage II,2.0,3,1240.0
6873,Hennur,2.0,2,1231.0
6874,Benson Town,2.0,2,1300.0
6875,Yeshwanthpur,3.0,3,1713.0
6876,Kogilu,2.0,2,1200.0
6877,Sarjapur  Road,4.0,3,3004.0
6878,Sonnenahalli,2.0,3,1310.0
6879,Jalahalli,2.0,2,790.0
6880,Koramangala,3.0,3,1744.0
6881,other,3.0,3,1605.0
6882,Whitefield,2.0,2,1250.0
6883,Malleshwaram,3.0,3,2476.0
6884,Subramanyapura,2.0,3,1260.0
6885,Rajaji Nagar,3.0,3,1615.0
6886,Yelahanka,2.0,2,1180.0
6887,Uttarahalli,2.0,3,1255.0
6888,Electronic City,2.0,2,1025.0
6889,Sarjapur  Road,4.0,3,1877.0
6890,Lakshminarayana Pura,3.0,3,1649.0
6892,Hennur,5.0,5,2500.0
6893,other,3.0,3,1542.0
6894,Thigalarapalya,2.0,2,1418.0
6895,other,2.0,2,1012.0
6896,Chandapura,2.0,2,1200.0
6897,Sarjapur  Road,2.0,2,1115.0
6898,Green Glen Layout,4.0,3,1680.0
6899,Old Madras Road,2.0,2,1171.0
6900,Tumkur Road,2.0,2,1027.0
6901,Shampura,3.0,3,1700.0
6902,Kanakapura,2.0,2,1090.0
6903,Hennur Road,2.0,2,1232.0
6904,Anekal,2.0,2,766.0
6906,Kanakpura Road,1.0,1,525.0
6908,JP Nagar,2.0,3,1452.0
6909,Choodasandra,2.0,3,1254.0
6910,other,5.0,5,3600.0
6911,Kanakpura Road,3.0,3,1593.0
6912,other,2.0,2,1333.0
6913,other,3.0,3,1100.0
6914,Raja Rajeshwari Nagar,2.0,3,1375.0
6915,Ardendale,3.0,3,1650.0
6916,Thanisandra,2.0,3,1430.0
6917,Electronic City,2.0,2,940.0
6918,Electronic City,1.0,1,435.0
6919,Begur Road,2.0,2,1160.0
6920,Electronic City,2.0,3,1500.0
6921,Koramangala,2.0,3,1890.0
6922,other,2.0,2,1050.0
6924,Haralur Road,2.0,2,1027.0
6925,Seegehalli,4.0,3,3000.0
6926,Tumkur Road,2.0,3,1459.0
6927,Yelahanka,3.0,3,1711.0
6928,Hoodi,2.0,2,1250.0
6929,Chandapura,1.0,1,645.0
6930,Anandapura,2.0,2,875.0
6931,Ramamurthy Nagar,2.0,2,1334.0
